iter	Passed	Remaining
0	152	151911
1	153	76551
2	154	51438
3	155	38809
4	156	31207
5	158	26180
6	159	22569
7	160	19861
8	161	17739
9	162	16043
10	163	14661
11	164	13508
12	165	12534
13	166	11696
14	167	10981
15	168	10340
16	169	9773
17	169	9272
18	170	8824
19	171	8424
20	173	8066
21	174	7736
22	175	7435
23	175	7156
24	177	6903
25	178	6672
26	179	6458
27	180	6257
28	181	6069
29	182	5894
30	183	5728
31	184	5575
32	185	5431
33	186	5293
34	187	5163
35	188	5040
36	189	4929
37	190	4822
38	191	4721
39	192	4622
40	193	4527
41	194	4436
42	195	4355
43	196	4273
44	197	4195
45	198	4120
46	199	4048
47	200	3980
48	201	3918
49	202	3855
50	203	3795
51	204	3736
52	205	3679
53	207	3626
54	208	3575
55	209	3527
56	210	3480
57	211	3434
58	212	3387
59	213	3348
60	214	3305
61	215	3264
62	216	3223
63	217	3184
64	218	3147
65	219	3110
66	220	3074
67	221	3038
68	222	3004
69	223	2972
70	224	2939
71	225	2910
72	226	2880
73	227	2852
74	228	2822
75	229	2794
76	230	2765
77	231	2738
78	232	2713
79	233	2687
80	234	2661
81	235	2636
82	236	2607
83	236	2583
84	238	2562
85	239	2540
86	239	2517
87	240	2497
88	241	2476
89	242	2454
90	243	2434
91	244	2415
92	245	2395
93	246	2375
94	247	2355
95	248	2336
96	248	2317
97	249	2298
98	250	2281
99	251	2266
100	252	2249
101	253	2233
102	254	2217
103	255	2202
104	256	2188
105	257	2173
106	258	2158
107	259	2143
108	260	2128
109	261	2114
110	262	2100
111	263	2086
112	264	2072
113	264	2058
114	265	2045
115	266	2032
116	267	2017
117	268	2005
118	269	1993
119	270	1980
120	270	1968
121	271	1954
122	272	1942
123	273	1930
124	274	1918
125	275	1907
126	275	1895
127	276	1884
128	277	1873
129	278	1862
130	279	1851
131	280	1841
132	281	1832
133	281	1822
134	282	1812
135	283	1802
136	284	1792
137	285	1782
138	286	1773
139	287	1764
140	288	1755
141	288	1743
142	289	1734
143	290	1725
144	291	1715
145	291	1706
146	292	1697
147	293	1690
148	294	1682
149	295	1673
150	296	1665
151	297	1657
152	298	1649
153	298	1641
154	299	1634
155	300	1626
156	301	1619
157	302	1611
158	303	1603
159	304	1596
160	304	1587
161	305	1579
162	306	1572
163	307	1566
164	308	1558
165	308	1551
166	309	1544
167	310	1537
168	311	1530
169	312	1524
170	313	1518
171	314	1511
172	314	1505
173	315	1498
174	316	1492
175	317	1485
176	318	1480
177	319	1473
178	319	1467
179	320	1460
180	321	1455
181	322	1449
182	323	1443
183	324	1438
184	325	1433
185	326	1427
186	326	1421
187	327	1415
188	328	1409
189	329	1403
190	330	1399
191	331	1394
192	332	1388
193	332	1383
194	333	1377
195	334	1372
196	335	1366
197	336	1361
198	337	1357
199	338	1352
200	338	1347
201	339	1342
202	340	1337
203	341	1332
204	342	1328
205	343	1324
206	344	1319
207	345	1314
208	345	1309
209	346	1304
210	347	1299
211	348	1294
212	349	1290
213	350	1286
214	351	1281
215	351	1277
216	352	1272
217	353	1267
218	354	1263
219	355	1258
220	356	1254
221	356	1250
222	357	1246
223	358	1241
224	359	1237
225	360	1232
226	360	1228
227	361	1224
228	362	1220
229	363	1216
230	364	1212
231	365	1208
232	365	1204
233	366	1200
234	367	1196
235	368	1193
236	369	1189
237	370	1184
238	370	1180
239	371	1176
240	372	1172
241	373	1168
242	374	1165
243	374	1161
244	375	1158
245	376	1154
246	377	1150
247	378	1147
248	379	1143
249	380	1140
250	380	1136
251	381	1133
252	382	1130
253	383	1126
254	384	1122
255	385	1119
256	386	1116
257	387	1113
258	388	1110
259	388	1107
260	389	1103
261	390	1100
262	391	1097
263	392	1094
264	393	1091
265	394	1087
266	394	1084
267	395	1080
268	396	1077
269	397	1074
270	398	1071
271	399	1068
272	400	1065
273	400	1062
274	401	1058
275	402	1055
276	403	1052
277	404	1049
278	405	1046
279	405	1043
280	406	1040
281	407	1037
282	408	1034
283	409	1031
284	409	1028
285	410	1025
286	411	1022
287	412	1019
288	413	1016
289	413	1013
290	414	1010
291	415	1007
292	416	1004
293	417	1001
294	418	999
295	418	996
296	419	993
297	420	990
298	421	987
299	422	985
300	423	982
301	424	980
302	424	977
303	425	974
304	426	971
305	427	969
306	428	966
307	428	963
308	429	961
309	430	958
310	431	956
311	432	953
312	433	950
313	434	948
314	434	945
315	435	943
316	436	941
317	437	938
318	438	936
319	439	933
320	440	931
321	441	928
322	441	926
323	442	923
324	443	921
325	444	918
326	445	916
327	446	913
328	446	911
329	447	909
330	448	906
331	449	904
332	450	901
333	451	899
334	451	896
335	452	894
336	453	891
337	454	889
338	455	887
339	456	885
340	456	882
341	457	880
342	458	878
343	459	875
344	460	873
345	461	871
346	461	869
347	462	866
348	463	864
349	464	862
350	464	859
351	465	857
352	466	855
353	467	853
354	468	850
355	469	848
356	469	846
357	470	844
358	471	842
359	472	840
360	473	837
361	474	835
362	475	833
